,id_endereco,cidade,estado,uf,id_fornecedor,id_produto,nome,qtde,id_ordens,data_pagamento,valor_total,status_pagamento,id_usuario,hora_compra,dia_compra,mês_compra,cep
0,60945b32f10a41002116599d,Porto Alegre,Rio Grande do Sul,RS,60945b32f10a41002116599c,6095938b1930370021e8947f,Kit bolo mousse de chocolate + mix de brigadeiros,1,60993786402cb800211f1d5a,2021-10-05 13:42:00,3.0,PAID,5f7c5f661516ce00214d6dcd,13,5,10,90000001.0
1,60945b32f10a41002116599d,Porto Alegre,Rio Grande do Sul,RS,60945b32f10a41002116599c,609594631930370021e89974,Kit bolo de chocolate com recheio de creme de avelã + docinhos de ninho® com creme de avelã,1,60993786402cb800211f1d5a,2021-10-05 13:42:00,3.0,PAID,5f7c5f661516ce00214d6dcd,13,5,10,90000001.0
2,60945b32f10a41002116599d,Porto Alegre,Rio Grande do Sul,RS,60945b32f10a41002116599c,609594c31930370021e89afe,Kit torta de caramelo salgado + docinhos de churros com doce de leite,1,60993786402cb800211f1d5a,2021-10-05 13:42:00,3.0,PAID,5f7c5f661516ce00214d6dcd,13,5,10,90000001.0
3,5f550609cba01d00210ed016,Campinas,SP,SP,5f550609cba01d00210ed015,5f6a1d08f309620021ca269c,Token de admiração,1,5f6a1ff1f309620021ca2822,2020-09-22 16:32:00,1.1,PAID,5f6a1912f309620021ca2652,16,22,9,13000001.0
4,5f550609cba01d00210ed016,Campinas,SP,SP,5f550609cba01d00210ed015,5f6a1d08f309620021ca269c,Token de admiração,2,5f6a2f3d5e18160021760db8,2020-09-22 17:19:00,4.6,PAID,5f6a2e615e18160021760dae,17,22,9,13000001.0
5,5f550609cba01d00210ed016,Campinas,SP,SP,5f550609cba01d00210ed015,5f6a1d08f309620021ca269c,Token de admiração,1,5f6a378a5e18160021760f6a,2020-09-22 17:44:00,2.0,PAID,5f6a37165e18160021760f60,17,22,9,13000001.0
6,5f550609cba01d00210ed016,Campinas,SP,SP,5f550609cba01d00210ed015,5f6a1d08f309620021ca269c,Token de admiração,1,5f7e17f815c78600216848c1,2020-07-10 19:35:00,1.5,PAID,5f550609cba01d00210ed014,19,10,7,13000001.0
7,5f550609cba01d00210ed016,Campinas,SP,SP,5f550609cba01d00210ed015,5f6a1d08f309620021ca269c,Token de admiração,1,5f8f5ac9002de60021d21bae,2020-10-20 21:47:00,1.4,PAID,5f550609cba01d00210ed014,21,20,10,13000001.0
8,5f550609cba01d00210ed016,Campinas,SP,SP,5f550609cba01d00210ed015,5f6a1d08f309620021ca269c,Token de admiração,1,5f9dd65a9edca400210014f3,2020-10-31 21:31:00,2.0,PAID,5f550609cba01d00210ed014,21,31,10,13000001.0
9,5f550609cba01d00210ed016,Campinas,SP,SP,5f550609cba01d00210ed015,5f6a1d08f309620021ca269c,Token de admiração,1,6006e12f0ec26c0021249c07,2021-01-19 13:41:00,1.1,PAID,5f550609cba01d00210ed014,13,19,1,13000001.0
10,5f550609cba01d00210ed016,Campinas,SP,SP,5f550609cba01d00210ed015,5f6a1d08f309620021ca269c,Token de admiração,1,60183e57892762002151d37d,2021-01-02 17:47:00,1.1,REFUSED,5fb5161caaf0990021a91952,17,2,1,13000001.0
11,5f550609cba01d00210ed016,Campinas,SP,SP,5f550609cba01d00210ed015,5f6a1d08f309620021ca269c,Token de admiração,1,60183e57892762002151d37d,2021-01-02 17:47:00,1.1,REFUSED,5fb5161caaf0990021a91952,17,2,1,13000001.0
12,5f550609cba01d00210ed016,Campinas,SP,SP,5f550609cba01d00210ed015,5f6a1d08f309620021ca269c,Token de admiração,1,60183e57892762002151d37d,2021-01-02 17:56:00,1.1,PAID,5fb5161caaf0990021a91952,17,2,1,13000001.0
13,60de13ddadb87a0021a830b9,Guarulhos,São Paulo,SP,60de13ddadb87a0021a830b8,610d68f7fe9be600211f5c44,Bolo caseiro de chocolate,1,615a9b4753c10b0022745909,2021-04-10 06:14:00,24.0,REFUSED,6151840eb1b223002263b972,6,10,4,7000001.0
14,60de13ddadb87a0021a830b9,Guarulhos,São Paulo,SP,60de13ddadb87a0021a830b8,610d68f7fe9be600211f5c44,Bolo caseiro de chocolate,1,615a9b4753c10b0022745909,2021-04-10 06:15:00,24.0,REFUSED,6151840eb1b223002263b972,6,10,4,7000001.0
15,5fc7970aa91cbc0021c0c62b,Osasco,São Paulo,SP,5fc7970aa91cbc0021c0c62a,5fc798e2a91cbc0021c0d15a,Bolo sensação,1,60a727e13351a8002123047e,2021-05-21 03:31:00,167.48,REFUSED,60a727013351a8002123031b,3,21,5,6000001.0
16,5fc7970aa91cbc0021c0c62b,Osasco,São Paulo,SP,5fc7970aa91cbc0021c0c62a,5fc798e2a91cbc0021c0d15a,Bolo sensação,1,60a727e13351a8002123047e,2021-05-21 03:32:00,167.48,REFUSED,60a727013351a8002123031b,3,21,5,6000001.0
17,5fc7970aa91cbc0021c0c62b,Osasco,São Paulo,SP,5fc7970aa91cbc0021c0c62a,5fc79adfa91cbc0021c0d432,Bolo kit kat,1,609cd01420feb5002125f43c,2021-05-13 15:13:00,250.0,PAID,609cca9420feb5002125f24b,15,13,5,6000001.0
18,5fc7970aa91cbc0021c0c62b,Osasco,São Paulo,SP,5fc7970aa91cbc0021c0c62a,5fc79adfa91cbc0021c0d432,Bolo kit kat,1,6153fed55f21fd0022fca861,2021-09-29 05:56:00,159.0,REFUNDED,609cca9420feb5002125f24b,5,29,9,6000001.0
19,5fc7970aa91cbc0021c0c62b,Osasco,São Paulo,SP,5fc7970aa91cbc0021c0c62a,5fc79ba9a91cbc0021c0d5df,Torta holandesa,1,609cd01420feb5002125f43c,2021-05-13 15:13:00,250.0,PAID,609cca9420feb5002125f24b,15,13,5,6000001.0
20,5fc7970aa91cbc0021c0c62b,Osasco,São Paulo,SP,5fc7970aa91cbc0021c0c62a,5fc79ba9a91cbc0021c0d5df,Torta holandesa,1,6153fed55f21fd0022fca861,2021-09-29 05:56:00,159.0,REFUNDED,609cca9420feb5002125f24b,5,29,9,6000001.0
21,60d9aa24b51b0f0021e0772f,Osasco,São Paulo,SP,60d9aa24b51b0f0021e0772e,613233efeaac2f00220391b6,Bolo caseirinho gourmet,1,614dd7f6ad72f7002257d793,2021-09-24 14:13:00,5.0,PAID,5fd958410eed7b0021cd305e,14,24,9,6000001.0
22,607e3d63de4292002135b6ef,Santo André,São Paulo,SP,607e3d63de4292002135b6ee,607e4152de4292002135bb2b,Coração dourado recheado de brigadeiro 600gr,1,6092d41304aa8f00215d0719,2021-05-05 17:23:00,40.0,PAID,6091b2b5ab1779002127680f,17,5,5,9000001.0
23,607e3d63de4292002135b6ef,Santo André,São Paulo,SP,607e3d63de4292002135b6ee,607e4152de4292002135bb2b,Coração dourado recheado de brigadeiro 600gr,1,6092dca504aa8f00215d5d49,2021-05-05 18:01:00,40.0,PAID,6092dc3204aa8f00215d5bbb,18,5,5,9000001.0
24,607e3d63de4292002135b6ef,Santo André,São Paulo,SP,607e3d63de4292002135b6ee,607e4152de4292002135bb2b,Coração dourado recheado de brigadeiro 600gr,1,6092dcce04aa8f00215d5d85,2021-05-05 18:01:00,40.0,PAID,6092d79204aa8f00215d1226,18,5,5,9000001.0
25,607e3d63de4292002135b6ef,Santo André,São Paulo,SP,607e3d63de4292002135b6ee,607e4152de4292002135bb2b,Coração dourado recheado de brigadeiro 600gr,1,60931dbd04aa8f00215e3111,2021-05-05 22:37:00,40.0,PAID,6087e6ac2aeb8a0021a1e791,22,5,5,9000001.0
26,607e3d63de4292002135b6ef,Santo André,São Paulo,SP,607e3d63de4292002135b6ee,607e4152de4292002135bb2b,Coração dourado recheado de brigadeiro 600gr,1,60931a8104aa8f00215e2ada,2021-05-05 22:51:00,40.0,PAID,6093197204aa8f00215e29a5,22,5,5,9000001.0
27,607e3d63de4292002135b6ef,Santo André,São Paulo,SP,607e3d63de4292002135b6ee,607e4152de4292002135bb2b,Coração dourado recheado de brigadeiro 600gr,1,6093222504aa8f00215e38ec,2021-05-05 23:08:00,40.0,PAID,609321a204aa8f00215e37e8,23,5,5,9000001.0
28,607e3d63de4292002135b6ef,Santo André,São Paulo,SP,607e3d63de4292002135b6ee,607e4152de4292002135bb2b,Coração dourado recheado de brigadeiro 600gr,1,60932bb504aa8f00215e4ce7,2021-05-05 23:44:00,40.0,PAID,60932ad304aa8f00215e4a52,23,5,5,9000001.0
29,607e3d63de4292002135b6ef,Santo André,São Paulo,SP,607e3d63de4292002135b6ee,607e4152de4292002135bb2b,Coração dourado recheado de brigadeiro 600gr,1,6093307304aa8f00215e58ac,2021-06-05 00:01:00,40.0,PAID,6093301004aa8f00215e562a,0,5,6,9000001.0
30,607e3d63de4292002135b6ef,Santo André,São Paulo,SP,607e3d63de4292002135b6ee,607e4152de4292002135bb2b,Coração dourado recheado de brigadeiro 600gr,1,6094a3c21930370021e58d3a,2021-07-05 02:31:00,40.0,PAID,6094a34d1930370021e58ced,2,5,7,9000001.0
31,607e3d63de4292002135b6ef,Santo André,São Paulo,SP,607e3d63de4292002135b6ee,607e4152de4292002135bb2b,Coração dourado recheado de brigadeiro 600gr,1,609c5d711db4af00215356dd,2021-12-05 23:21:00,40.0,REFUSED,6091b2b5ab1779002127680f,23,5,12,9000001.0
32,607e3d63de4292002135b6ef,Santo André,São Paulo,SP,607e3d63de4292002135b6ee,607e4152de4292002135bb2b,Coração dourado recheado de brigadeiro 600gr,1,609c5d711db4af00215356dd,2021-12-05 23:22:00,40.0,PAID,6091b2b5ab1779002127680f,23,5,12,9000001.0
33,607e3d63de4292002135b6ef,Santo André,São Paulo,SP,607e3d63de4292002135b6ee,607e4152de4292002135bb2b,Coração dourado recheado de brigadeiro 600gr,1,609c64951db4af0021536a0c,2021-12-05 23:33:00,40.0,REFUSED,6089ab612edde70021b2391d,23,5,12,9000001.0
34,607e3d63de4292002135b6ef,Santo André,São Paulo,SP,607e3d63de4292002135b6ee,607e4152de4292002135bb2b,Coração dourado recheado de brigadeiro 600gr,1,609c64951db4af0021536a0c,2021-12-05 23:35:00,40.0,REFUSED,6089ab612edde70021b2391d,23,5,12,9000001.0
35,607e3d63de4292002135b6ef,Santo André,São Paulo,SP,607e3d63de4292002135b6ee,607e4325de4292002135bdd3,Eball,1,60aeba94bd51fe0021018289,2021-05-26 21:17:00,65.0,PAID,604bf5b83fa7940021e938a8,21,26,5,9000001.0
36,607e3d63de4292002135b6ef,Santo André,São Paulo,SP,607e3d63de4292002135b6ee,607e4325de4292002135bdd3,Eball,1,60f8be2b4684290021e4a800,2021-07-22 00:43:00,60.0,PAID,5fc2ad8cf6e8c40021dd08c0,0,22,7,9000001.0
37,607e3d63de4292002135b6ef,Santo André,São Paulo,SP,607e3d63de4292002135b6ee,607e450ede4292002135c08d,Brigadeiros com morango dentro,1,60981d9f4289000021398707,2021-09-05 17:41:00,40.1,PAID,60981be44289000021398561,17,5,9,9000001.0
38,607e3d63de4292002135b6ef,Santo André,São Paulo,SP,607e3d63de4292002135b6ee,607e468bde4292002135c1f0,Kit com 12 brigadeiros,1,6087e9812aeb8a0021a1e949,2021-04-27 10:43:00,42.0,REIMBURSED,6087e6ac2aeb8a0021a1e791,10,27,4,9000001.0
39,607e3d63de4292002135b6ef,Santo André,São Paulo,SP,607e3d63de4292002135b6ee,607e468bde4292002135c1f0,Kit com 12 brigadeiros,1,60884beb2aeb8a0021a37413,2021-04-27 17:40:00,32.0,PAID,6087e6ac2aeb8a0021a1e791,17,27,4,9000001.0
40,607e3d63de4292002135b6ef,Santo André,São Paulo,SP,607e3d63de4292002135b6ee,607e468bde4292002135c1f0,Kit com 12 brigadeiros,1,6088def72edde70021afdadb,2021-04-28 04:11:00,32.0,PAID,607e3ad4de4292002135b291,4,28,4,9000001.0
41,607e3d63de4292002135b6ef,Santo André,São Paulo,SP,607e3d63de4292002135b6ee,607e468bde4292002135c1f0,Kit com 12 brigadeiros,1,6089ad752edde70021b240d1,2021-04-28 18:53:00,32.0,PAID,6089ab612edde70021b2391d,18,28,4,9000001.0
42,607e3d63de4292002135b6ef,Santo André,São Paulo,SP,607e3d63de4292002135b6ee,607e468bde4292002135c1f0,Kit com 12 brigadeiros,1,608ad9e582095f00216f4e26,2021-04-29 16:12:00,39.0,PAID,608ab01682095f00216ead5d,16,29,4,9000001.0
43,607e3d63de4292002135b6ef,Santo André,São Paulo,SP,607e3d63de4292002135b6ee,607e468bde4292002135c1f0,Kit com 12 brigadeiros,1,608c82eae8cdce0021aef66f,2021-04-30 22:24:00,32.0,PAID,608c81bde8cdce0021aeef7f,22,30,4,9000001.0
44,607e3d63de4292002135b6ef,Santo André,São Paulo,SP,607e3d63de4292002135b6ee,607e468bde4292002135c1f0,Kit com 12 brigadeiros,1,608cb23be8cdce0021afa21a,2021-01-05 01:51:00,32.0,PAID,608cb0f7e8cdce0021afa057,1,5,1,9000001.0
45,607e3d63de4292002135b6ef,Santo André,São Paulo,SP,607e3d63de4292002135b6ee,607e468bde4292002135c1f0,Kit com 12 brigadeiros,1,6091b306ab17790021276969,2021-04-05 20:55:00,30.1,REFUSED,6091b2b5ab1779002127680f,20,5,4,9000001.0
46,607e3d63de4292002135b6ef,Santo André,São Paulo,SP,607e3d63de4292002135b6ee,607e468bde4292002135c1f0,Kit com 12 brigadeiros,1,6091b306ab17790021276969,2021-04-05 20:55:00,30.1,REFUSED,6091b2b5ab1779002127680f,20,5,4,9000001.0
